program_tour,url,description,price,region
ทัวร์เวียดนาม ดานัง ฮอยอัน บานาฮิลล์ สวนสนุก The Fantasy Park สะพานโกเด้นบริดจ์ เมืองโบราณฮอยอัน ล่องเรือกระด้ง,https://www.mushroomtravel.com/tour/outbound/asia/mush261851-vietnam-4d3n-by-vz,"เที่ยว:หมู่บ้านกั๊มทาน-ล่องเรือกระด้ง-เมืองโบราณฮอยอัน-สะพานญี่ปุ่น-ศาลกวนอู-วัดฟุกเกี๋ยน-บานาฮิลล์-LE JARDIN D’AMOUR-สะพานโกเด้นบริดจ์-จัตุรัสแห่งดวงดาว-สวนสนุก The Fantasy Park-วัดลินห์อึ๋ง-Marina Cafe-สะพานมังกร-สะพานแห่งความรัก-รูปปั้นปลามังกรพ่นน้ำช้อป:POP MART-Son Tra Night Marketกิน:หม้อไฟทะเล#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา15,388บาท",15388,Asia
ทัวร์จีน ชิงเต่า จัตุรัส 54 ภูเขาเสียวยวี่ซาน สะพานจ้านเฉียว พิพิธภัณฑ์เบียร์ ไม่เข้าร้านรัฐบาล,https://www.mushroomtravel.com/tour/outbound/asia/mush260771-china-6d5n-by-qw,"พิเศษ:ไม่เข้าร้านรัฐบาลเที่ยว:ชิงเต่า-ปาต้ากวน-ภูเขาเสี้ยวหยูซาน-จัตุรัส 54-ชายหาดหมายเลข 2-ถนนอนิเมะ-โบสถ์คริสต์เซนต์ไมเคิล-สะพานจ้านเฉียว-พิพิธภัณฑ์เบียร์ชิงเต่า(ชิมเบียร์ฟรี)-อุทยานธรณีป่าหินหม่าซาน-เมืองโบราณจี๋โม-ถนนริมทะเล-จุดชมวิวหมู่บ้านชาวประมงชิงซาน-หมู่บ้านชาวประมงซาจื่อโขว่ช้อป:ว่านเซี่ยง-ห้าง MIX C-ถนนวัฒนธรรมต้าเปาเต่า-ถนนแห่งสตรีทฟู้ด-เอ้าเล็ทไป่เหลียนกิน:สุกี้หม้อไฟพัก:พัก 4 ดาวทุกคืนบินตรง Full service พัก 4 ดาว ราคานี้คุ้มสุด#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา23,888บาท",23888,Asia
ทัวร์เวียดนาม ดานัง ฮอยอัน บานาฮิลล์ สะพานมือสีทอง หมู่บ้านกั๊มทาน ล่องเรือกระด้ง พักบานาฮิลล์ 1 คืน ไม่เข้าร้านรัฐบาล,https://www.mushroomtravel.com/tour/outbound/asia/mush251335-vietnam-4d3n-by-ek,"พิเศษ:ไม่เข้าร้านรัฐบาลเที่ยว:ดานัง-หมู่บ้านกั๊มทาน-ล่องเรือกระด้ง-ฮอยอัน-ย่านเมืองเก่าฮอยอัน-สะพานญี่ปุ่น-สะพานมังกร-รูปปั้นปลามังกรพ่นน้ำ-สะพานแห่งความรัก-บานาฮิลล์-นั่งกระเช้าไฟฟ้าซัน เวิลด์ บานาฮิลล์-สวนสนุกแฟนตาซีพาร์ค-สะพานมือสีทอง-สวนดอกไม้-วัดลินห์อึ๋ง-APEC PARK-โบสถ์สีชมพูช้อป:ตลาดฮานกิน:เมนูสุกี้ซีฟู๊ด+กุ้งมังกร-INTERNATIONAL BUFFETพัก:พักบานาฮิลล์ 1 คืนบินหรู Full Service ,ไม่ลงร้าน , พักบนเขาบาน่าฮิลล์#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา20,400บาท",20400,Asia
ทัวร์จีน บินตรงฉางซา จางเจียเจี้ย เมืองโบราณฟูหรงเจิ้น เมืองโบราณเฟิ่งหวง ถ้ำประตูสวรรค์ ไม่เข้าร้านรัฐบาล,https://www.mushroomtravel.com/tour/outbound/asia/mush255523-china-6d5n-by-sl,"พิเศษ:ไม่เข้าร้านรัฐบาล-โชว์นางจิ้งจอกขาว-นั่งรถไฟความเร็วสูง(มีรถบัสขนกระเป๋า)เที่ยว:ฉางซา-ยอดเขาเทียนเหมินซาน-ทางเดินกระจก-ถ้ำประตูสวรรค์-ตึกมหัศจรรย์ 72 ชั้น-จางเจียเจี้ย-สะพานอันดับหนึ่งใต้ฟ้า-สะพานแก้วจางเจียเจี้ย-บอลลูนเทียม VR4มิติ-เมืองโบราณฟูหรงเจิ้น-น้ำตกฟู่หรง-เมืองโบราณเฟิ่งหวง-สะพานสายรุ้ง-ล่องเรือแม่น้ำถัวเจียงช้อป:ถนนคนเดินหวงซิงลู่-POP MART-CHANGSHA BAILIAN OUTLETกิน:พักติดเมืองโบราณ 2 คืนพัก:พัก 4 ดาวทุกคืนพักติดเมืองโบราณฟูหรงเจิ้น / เฟิ่งหวง 2 คืน#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา33,899บาท",33899,Asia
ทัวร์ญี่ปุ่น โอซาก้า เกียวโต คามิโคจิ หมู่บ้านชิราคาวาโกะ วัดคิโยมิสึ ศาลเจ้าฟูชิมิอินาริ ป่าไผ่อาราชิยามะ ปราสาทโอซาก้า,https://www.mushroomtravel.com/tour/outbound/asia/mush261832-japan-5d3n-by-mm-,"เที่ยว:เกียวโต-ศาลเจ้าฟูชิมิอินาริ-ป่าไผ่อาราชิยามะ-คามิโคจิ-หมู่บ้านชิราคาวาโกะ-วัดคิโยมิสึ-ปราสาทโอซาก้า-ตลาดปลาคุโรมงช้อป:อิออน มอลล์-ถนนสายกาน้ำชา-ย่านชินไซบาชิ-ริงกุ เอาท์เล็ทกิน:เมนูบุฟเฟ่ต์ชาบู#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรมกรณียกเลิก มีค่าใช้จ่ายตามประกาศคณะกรรมการท่องเที่ยว ราคา33,990บาท",33990,Asia
ทัวร์จีน ฉงชิ่ง อู่หลง อุทยานหลุมฟ้าสะพานสวรรค์ อุทยานเขานางฟ้า หงหยาต้ง Kuixing Building ไม่เข้าร้านรัฐบาล,https://www.mushroomtravel.com/tour/outbound/asia/mush253371-china-5d3n-by-sl,"พิเศษ:ไม่เข้าร้านรัฐบาลเที่ยว:อู่หลง-อุทยานแห่งชาติหลุมฟ้าสะพานสวรรค์-ระเบียงกระจก-อุทยานเขานางฟ้า-ฉงชิ่ง-รถไฟฟ้าทะลุตึก-หมู่บ้านโบราณฉือช่อโข่ว-วัดเจ้าแม่กวนอิมเป่าเหลิน-มหาศาลาประชาคมฉงชิ่ง-Kuixing Building-ตึกตะเกียบช้อป:หงหยาต้ง-ถนนคนเดินเจี่ยฟ่างเป่ย-POP MARTพัก:พัก 4 ดาวทุกคืนรวมค่าขึ้นลิฟท์,รวมค่ารถราง, ไม่ลงร้าน, คุ้มม๊ากๆ#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา23,790บาท",23790,Asia
ทัวร์ญี่ปุ่น ฮอกไกโด ซัปโปโร ฟาร์มโทมิตะ สวนชิกิไซโนะโอกะ เนินพระพุทธเจ้า คลองโอตารุ ย่านทานุกิโคจิ,https://www.mushroomtravel.com/tour/outbound/asia/mush261772-japan-5d3n-by-xj,"เที่ยว:โอตารุ-คลองสายวัฒนธรรมโอตารุ-เครื่องแก้วโอตารุ-พิพิธภัณฑ์กล่องดนตรี-ซัปโปโร-เนินพระพุทธเจ้า-โรงงานช็อกโกแลตชิโรอิโคอิบิโตะ-ฟุราโน่-ฟาร์มโทมิตะ-สวนชิกิไซโนะโอกะช้อป:Duty free-Mitsui Outlet-ย่านทานุกิโคจิกิน:Yakiniku Buffet-บุฟเฟ่ต์ชาบู+ขาปูแบบไม่อั้นบินตรงสู่ฮอกไกโด ในราคาคุ้มที่สุด#พี่เห็ดจริงใจ# โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม ราคา39,388บาท",39388,Asia
ทัวร์ญี่ปุ่น โอซาก้า เกียวโต ศาลเจ้านัมบะ ยาซากะ วัดคิโยมิสึ ศาลเจ้าคิฟุเนะ ปราสาทโอซาก้า อิสระเต็มวัน ,https://www.mushroomtravel.com/tour/outbound/asia/mush261296-japan-5d3n-by-vz-,"เที่ยว:ศาลเจ้านัมบะ ยาซากะ-ตลาดปลาคุโรมง-ปราสาทโอซาก้า-เกียวโต-ศาลเจ้าคิฟุเนะ-วัดคิโยมิสึ-สวนสนุกยูนิเวอร์แซล สตูดิโอ(เลือกซื้อทัวร์เสริม)-อิสระเต็มวันช้อป:อิออน มอลล์-ถนนสายกาน้ำชา-ย่านชินไซบาชิกิน:เมนูบุฟเฟ่ต์ชาบูต้นตำรับของญี่ปุ่น#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม1.กรณียกเลิก มีค่าใช้จ่ายตามประกาศคณะกรรมการท่องเที่ยว2.กรณีซื้อบัตรเข้าสวนสนุกเพิ่มเติม กรุณาติดต่อเจ้าหน้าที่ เพื่อเช็ควันเที่ยวอิสระอีกครั้ง ราคา25,990บาท",25990,Asia
ทัวร์ญี่ปุ่น โตเกียว เกาะเอโนชิมะ วัดอาซากุสะ พระใหญ่ไดบุตสึคามาคุระ วัดหัวไชเท้า นั่งรถไฟสายโรแมนติก อิสระเต็มวัน,https://www.mushroomtravel.com/tour/outbound/asia/mush261009-japan-5d3n-by-vz-,"เที่ยว:พระใหญ่ไดบุตสึ คามาคุระ-นั่งรถไฟสายโรแมนติก-เกาะเอโนชิมะ-วัดอาซากุสะ-วัดหัวไชเท้าสวนสนุกโตเกียวดิสนีย์แลนด์(เลือกซื้อทัวร์เสริม)-อิสระเต็มวันช้อป:ย่านชินจูกุกิน:เมนูบุฟเฟ่ต์ชาบูต้นตำรับญี่ปุ่นพัก:พักออนเซ็น 1 คืน#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรม1.กรณียกเลิก มีค่าใช้จ่ายตามประกาศคณะกรรมการท่องเที่ยว2.กรณีซื้อบัตรเข้าสวนสนุกเพิ่มเติม กรุณาติดต่อเจ้าหน้าที่ เพื่อเช็ควันเที่ยวอิสระอีกครั้ง ราคา25,990บาท",25990,Asia
ทัวร์เวียดนาม ดานัง ฮอยอัน บานาฮิลล์ สวนสนุกแฟนตาซีพาร์ค สะพานมือยักษ์ เมืองโบราณฮอยอัน ไม่เข้าร้านรัฐบาล,https://www.mushroomtravel.com/tour/outbound/asia/mush260471-vietnam-4d3n-by-vn-,"พิเศษ:ไม่เข้าร้านรัฐบาล-โชว์ Danang Charmingเที่ยว:หมู่บ้านกั๊มทาน-ล่องเรือกระด้ง-เมืองโบราณฮอยอัน-สะพานญี่ปุ่น-เจ้าแม่กวนอิมหลินอึ๋ง-โบสถ์สีชมพู-สะพานมังกร-บานาฮิลล์-นั่งกระเช้าซัน เวิลด์ บานาฮิลล์-สะพานมือยักษ์-สวนดอกไม้แห่งความรัก-สวนสนุกแฟนตาซีพาร์ค-จัตุรัสแห่งดวงดาวช้อป:ตลาดฮาน-POP MARTกิน:เมนูบุฟเฟ่ปิ้งย่าง-บุฟเฟ่ต์บนบานาฮิลล์-ซีฟู้ดสไตล์เวียดนามพัก:พักบนบานาฮิลล์ 1 คืนบิน Full Service, พักบาน่าฮิลล์ ,ไม่ลงร้าน เที่ยวคุ้มกว่าค่ะ#พี่เห็ดจริงใจ#โปรแกรมนี้ สายการบินอาจมีการปรับ ภาษีน้ํามัน ตามเงื่อนไขท้ายโปรแกรมกรณียกเลิก มีค่าใช้จ่ายตามประกาศคณะกรรมการท่องเที่ยว ราคา17,990บาท",17990,Asia
